func,order,h,approx,exact,abs_err
exp,  0,  1.0000000000E-01,  1.6487212707E+00,  1.8221188004E+00,  1.7339752969E-01
exp,  1,  1.0000000000E-01,  1.8135933978E+00,  1.8221188004E+00,  8.5254026204E-03
exp,  2,  1.0000000000E-01,  1.8218370041E+00,  1.8221188004E+00,  2.8179626687E-04
exp,  3,  1.0000000000E-01,  1.8221117910E+00,  1.8221188004E+00,  7.0093884170E-06
exp,  4,  1.0000000000E-01,  1.8221186607E+00,  1.8221188004E+00,  1.3971645574E-07
exp,  5,  1.0000000000E-01,  1.8221187981E+00,  1.8221188004E+00,  2.3230164459E-09
exp,  6,  1.0000000000E-01,  1.8221188004E+00,  1.8221188004E+00,  3.3125724386E-11
exp,  7,  1.0000000000E-01,  1.8221188004E+00,  1.8221188004E+00,  4.1300296516E-13
exp,  8,  1.0000000000E-01,  1.8221188004E+00,  1.8221188004E+00,  3.9968028887E-15
exp,  0,  1.0000000000E-02,  1.6487212707E+00,  1.6652911949E+00,  1.6569924246E-02
exp,  1,  1.0000000000E-02,  1.6652084834E+00,  1.6652911949E+00,  8.2711538757E-05
exp,  2,  1.0000000000E-02,  1.6652909195E+00,  1.6652911949E+00,  2.7547522197E-07
exp,  3,  1.0000000000E-02,  1.6652911943E+00,  1.6652911949E+00,  6.8834360434E-10
exp,  4,  1.0000000000E-02,  1.6652911949E+00,  1.6652911949E+00,  1.3764545059E-12
exp,  5,  1.0000000000E-02,  1.6652911949E+00,  1.6652911949E+00,  2.4424906542E-15
exp,  6,  1.0000000000E-02,  1.6652911949E+00,  1.6652911949E+00,  2.2204460493E-16
exp,  7,  1.0000000000E-02,  1.6652911949E+00,  1.6652911949E+00,  2.2204460493E-16
exp,  8,  1.0000000000E-02,  1.6652911949E+00,  1.6652911949E+00,  2.2204460493E-16
exp,  0,  1.0000000000E-03,  1.6487212707E+00,  1.6503708166E+00,  1.6495459062E-03
exp,  1,  1.0000000000E-03,  1.6503699920E+00,  1.6503708166E+00,  8.2463549078E-07
exp,  2,  1.0000000000E-03,  1.6503708163E+00,  1.6503708166E+00,  2.7485547172E-10
exp,  3,  1.0000000000E-03,  1.6503708166E+00,  1.6503708166E+00,  6.8611782922E-14
exp,  4,  1.0000000000E-03,  1.6503708166E+00,  1.6503708166E+00,  0.0000000000E+00
exp,  5,  1.0000000000E-03,  1.6503708166E+00,  1.6503708166E+00,  0.0000000000E+00
exp,  6,  1.0000000000E-03,  1.6503708166E+00,  1.6503708166E+00,  0.0000000000E+00
exp,  7,  1.0000000000E-03,  1.6503708166E+00,  1.6503708166E+00,  0.0000000000E+00
exp,  8,  1.0000000000E-03,  1.6503708166E+00,  1.6503708166E+00,  0.0000000000E+00
sin,  0,  1.0000000000E-01,  4.7942553860E-01,  5.6464247340E-01,  8.5216934791E-02
sin,  1,  1.0000000000E-01,  5.6718379479E-01,  5.6464247340E-01,  2.5413213982E-03
sin,  2,  1.0000000000E-01,  5.6478666710E-01,  5.6464247340E-01,  1.4419370518E-04
sin,  3,  1.0000000000E-01,  5.6464040334E-01,  5.6464247340E-01,  2.0700551311E-06
sin,  4,  1.0000000000E-01,  5.6464240095E-01,  5.6464247340E-01,  7.2448720245E-08
sin,  5,  1.0000000000E-01,  5.6464247408E-01,  5.6464247340E-01,  6.8315986201E-10
sin,  6,  1.0000000000E-01,  5.6464247341E-01,  5.6464247340E-01,  1.7291057475E-11
sin,  7,  1.0000000000E-01,  5.6464247339E-01,  5.6464247340E-01,  1.2134737659E-13
sin,  8,  1.0000000000E-01,  5.6464247340E-01,  5.6464247340E-01,  2.4424906542E-15
sin,  0,  1.0000000000E-02,  4.7942553860E-01,  4.8817724688E-01,  8.7517082787E-03
sin,  1,  1.0000000000E-02,  4.8820136422E-01,  4.8817724688E-01,  2.4117340199E-05
sin,  2,  1.0000000000E-02,  4.8817739295E-01,  4.8817724688E-01,  1.4606326904E-07
sin,  3,  1.0000000000E-02,  4.8817724668E-01,  4.8817724688E-01,  2.0049129024E-10
sin,  4,  1.0000000000E-02,  4.8817724688E-01,  4.8817724688E-01,  7.3063777251E-13
sin,  5,  1.0000000000E-02,  4.8817724688E-01,  4.8817724688E-01,  6.6613381478E-16
sin,  6,  1.0000000000E-02,  4.8817724688E-01,  4.8817724688E-01,  0.0000000000E+00
sin,  7,  1.0000000000E-02,  4.8817724688E-01,  4.8817724688E-01,  0.0000000000E+00
sin,  8,  1.0000000000E-02,  4.8817724688E-01,  4.8817724688E-01,  0.0000000000E+00
sin,  0,  1.0000000000E-03,  4.7942553860E-01,  4.8030288131E-01,  8.7734270288E-04
sin,  1,  1.0000000000E-03,  4.8030312117E-01,  4.8030288131E-01,  2.3985901304E-07
sin,  2,  1.0000000000E-03,  4.8030288145E-01,  4.8030288131E-01,  1.4624373934E-10
sin,  3,  1.0000000000E-03,  4.8030288131E-01,  4.8030288131E-01,  2.0039525594E-14
sin,  4,  1.0000000000E-03,  4.8030288131E-01,  4.8030288131E-01,  5.5511151231E-17
sin,  5,  1.0000000000E-03,  4.8030288131E-01,  4.8030288131E-01,  5.5511151231E-17
sin,  6,  1.0000000000E-03,  4.8030288131E-01,  4.8030288131E-01,  5.5511151231E-17
sin,  7,  1.0000000000E-03,  4.8030288131E-01,  4.8030288131E-01,  5.5511151231E-17
sin,  8,  1.0000000000E-03,  4.8030288131E-01,  4.8030288131E-01,  5.5511151231E-17
