h,method,approx,exact,abs_err
  1.0000000000E-01,central,  2.7228145639E+00,  2.7182818285E+00,  4.5327354884E-03
  1.0000000000E-01,complex,  2.7137536234E+00,  2.7182818285E+00,  4.5282050185E-03
  1.0000000000E-01,richardson,  2.7182818285E+00,  2.7182818285E+00,  2.7089441801E-14
  1.0000000000E-01,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-02,central,  2.7183271334E+00,  2.7182818285E+00,  4.5304923669E-05
  1.0000000000E-02,complex,  2.7182365240E+00,  2.7182818285E+00,  4.5304470618E-05
  1.0000000000E-02,richardson,  2.7182818285E+00,  2.7182818285E+00,  1.7408297026E-13
  1.0000000000E-02,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-03,central,  2.7182822815E+00,  2.7182818285E+00,  4.5304667884E-07
  1.0000000000E-03,complex,  2.7182813754E+00,  2.7182818285E+00,  4.5304694885E-07
  1.0000000000E-03,richardson,  2.7182818285E+00,  2.7182818285E+00,  4.2899017672E-13
  1.0000000000E-03,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-04,central,  2.7182818330E+00,  2.7182818285E+00,  4.5305657004E-09
  1.0000000000E-04,complex,  2.7182818239E+00,  2.7182818285E+00,  4.5304697771E-09
  1.0000000000E-04,richardson,  2.7182818284E+00,  2.7182818285E+00,  1.6413093107E-11
  1.0000000000E-04,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-05,central,  2.7182818285E+00,  2.7182818285E+00,  5.8586913099E-11
  1.0000000000E-05,complex,  2.7182818284E+00,  2.7182818285E+00,  4.5304648921E-11
  1.0000000000E-05,richardson,  2.7182818284E+00,  2.7182818285E+00,  2.7630786548E-11
  1.0000000000E-05,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-06,central,  2.7182818283E+00,  2.7182818285E+00,  1.6345724774E-10
  1.0000000000E-06,complex,  2.7182818285E+00,  2.7182818285E+00,  4.5297099405E-13
  1.0000000000E-06,richardson,  2.7182818264E+00,  2.7182818285E+00,  2.0767219056E-09
  1.0000000000E-06,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-07,central,  2.7182818285E+00,  2.7182818285E+00,  5.8587357188E-11
  1.0000000000E-07,complex,  2.7182818285E+00,  2.7182818285E+00,  4.4408920985E-15
  1.0000000000E-07,richardson,  2.7182818306E+00,  2.7182818285E+00,  2.1482349233E-09
  1.0000000000E-07,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-08,central,  2.7182818219E+00,  2.7182818285E+00,  6.6027507906E-09
  1.0000000000E-08,complex,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-08,richardson,  2.7182819933E+00,  2.7182818285E+00,  1.6482978271E-07
  1.0000000000E-08,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-09,central,  2.7182818219E+00,  2.7182818285E+00,  6.6027507906E-09
  1.0000000000E-09,complex,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-09,richardson,  2.7182828961E+00,  2.7182818285E+00,  1.0676701949E-06
  1.0000000000E-09,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-10,central,  2.7182811557E+00,  2.7182818285E+00,  6.7273656557E-07
  1.0000000000E-10,complex,  2.7182818285E+00,  2.7182818285E+00,  4.4408920985E-16
  1.0000000000E-10,richardson,  2.7182918985E+00,  2.7182818285E+00,  1.0069992892E-05
  1.0000000000E-10,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-11,central,  2.7182922580E+00,  2.7182818285E+00,  1.0429493681E-05
  1.0000000000E-11,complex,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-11,richardson,  2.7181417219E+00,  2.7182818285E+00,  1.4010656652E-04
  1.0000000000E-11,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-12,central,  2.7184920981E+00,  2.7182818285E+00,  2.1026963811E-04
  1.0000000000E-12,complex,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
  1.0000000000E-12,richardson,  2.7199843005E+00,  2.7182818285E+00,  1.7024720413E-03
  1.0000000000E-12,dual,  2.7182818285E+00,  2.7182818285E+00,  0.0000000000E+00
