s,D_sX_T (analytic)
  0.0000000000E+00,  3.6787944117E-01
  1.0000000000E-02,  3.7157669102E-01
  2.0000000000E-02,  3.7531109885E-01
  3.0000000000E-02,  3.7908303810E-01
  4.0000000000E-02,  3.8289288598E-01
  5.0000000000E-02,  3.8674102345E-01
  6.0000000000E-02,  3.9062783536E-01
  7.0000000000E-02,  3.9455371037E-01
  8.0000000000E-02,  3.9851904108E-01
  9.0000000000E-02,  4.0252422403E-01
  1.0000000000E-01,  4.0656965974E-01
  1.1000000000E-01,  4.1065575275E-01
  1.2000000000E-01,  4.1478291168E-01
  1.3000000000E-01,  4.1895154925E-01
  1.4000000000E-01,  4.2316208232E-01
  1.5000000000E-01,  4.2741493195E-01
  1.6000000000E-01,  4.3171052343E-01
  1.7000000000E-01,  4.3604928632E-01
  1.8000000000E-01,  4.4043165451E-01
  1.9000000000E-01,  4.4485806622E-01
  2.0000000000E-01,  4.4932896412E-01
  2.1000000000E-01,  4.5384479528E-01
  2.2000000000E-01,  4.5840601131E-01
  2.3000000000E-01,  4.6301306831E-01
  2.4000000000E-01,  4.6766642701E-01
  2.5000000000E-01,  4.7236655274E-01
  2.6000000000E-01,  4.7711391552E-01
  2.7000000000E-01,  4.8190899009E-01
  2.8000000000E-01,  4.8675225596E-01
  2.9000000000E-01,  4.9164419746E-01
  3.0000000000E-01,  4.9658530379E-01
  3.1000000000E-01,  5.0157606907E-01
  3.2000000000E-01,  5.0661699237E-01
  3.3000000000E-01,  5.1170857779E-01
  3.4000000000E-01,  5.1685133449E-01
  3.5000000000E-01,  5.2204577676E-01
  3.6000000000E-01,  5.2729242404E-01
  3.7000000000E-01,  5.3259180101E-01
  3.8000000000E-01,  5.3794443759E-01
  3.9000000000E-01,  5.4335086907E-01
  4.0000000000E-01,  5.4881163609E-01
  4.1000000000E-01,  5.5432728473E-01
  4.2000000000E-01,  5.5989836657E-01
  4.3000000000E-01,  5.6552543870E-01
  4.4000000000E-01,  5.7120906385E-01
  4.5000000000E-01,  5.7694981038E-01
  4.6000000000E-01,  5.8274825237E-01
  4.7000000000E-01,  5.8860496968E-01
  4.8000000000E-01,  5.9452054797E-01
  4.9000000000E-01,  6.0049557881E-01
  5.0000000000E-01,  6.0653065971E-01
  5.1000000000E-01,  6.1262639418E-01
  5.2000000000E-01,  6.1878339181E-01
  5.3000000000E-01,  6.2500226828E-01
  5.4000000000E-01,  6.3128364551E-01
  5.5000000000E-01,  6.3762815162E-01
  5.6000000000E-01,  6.4403642108E-01
  5.7000000000E-01,  6.5050909472E-01
  5.8000000000E-01,  6.5704681982E-01
  5.9000000000E-01,  6.6365025014E-01
  6.0000000000E-01,  6.7032004604E-01
  6.1000000000E-01,  6.7705687450E-01
  6.2000000000E-01,  6.8386140921E-01
  6.3000000000E-01,  6.9073433064E-01
  6.4000000000E-01,  6.9767632607E-01
  6.5000000000E-01,  7.0468808972E-01
  6.6000000000E-01,  7.1177032276E-01
  6.7000000000E-01,  7.1892373343E-01
  6.8000000000E-01,  7.2614903707E-01
  6.9000000000E-01,  7.3344695622E-01
  7.0000000000E-01,  7.4081822068E-01
  7.1000000000E-01,  7.4826356758E-01
  7.2000000000E-01,  7.5578374146E-01
  7.3000000000E-01,  7.6337949434E-01
  7.4000000000E-01,  7.7105158580E-01
  7.5000000000E-01,  7.7880078307E-01
  7.6000000000E-01,  7.8662786107E-01
  7.7000000000E-01,  7.9453360250E-01
  7.8000000000E-01,  8.0251879796E-01
  7.9000000000E-01,  8.1058424597E-01
  8.0000000000E-01,  8.1873075308E-01
  8.1000000000E-01,  8.2695913394E-01
  8.2000000000E-01,  8.3527021141E-01
  8.3000000000E-01,  8.4366481660E-01
  8.4000000000E-01,  8.5214378897E-01
  8.5000000000E-01,  8.6070797643E-01
  8.6000000000E-01,  8.6935823540E-01
  8.7000000000E-01,  8.7809543092E-01
  8.8000000000E-01,  8.8692043672E-01
  8.9000000000E-01,  8.9583413530E-01
  9.0000000000E-01,  9.0483741804E-01
  9.1000000000E-01,  9.1393118527E-01
  9.2000000000E-01,  9.2311634639E-01
  9.3000000000E-01,  9.3239381991E-01
  9.4000000000E-01,  9.4176453358E-01
  9.5000000000E-01,  9.5122942450E-01
  9.6000000000E-01,  9.6078943915E-01
  9.7000000000E-01,  9.7044553355E-01
  9.8000000000E-01,  9.8019867331E-01
  9.9000000000E-01,  9.9004983375E-01
  1.0000000000E+00,  1.0000000000E+00
