x,reverse_grad,analytic_grad,abs_error
   -2.000000,1.144852E+01,1.144852E+01,0.000000E+00
   -1.900000,1.037210E+01,1.037210E+01,0.000000E+00
   -1.800000,9.360559E+00,9.360559E+00,0.000000E+00
   -1.700000,8.413277E+00,8.413277E+00,0.000000E+00
   -1.600000,7.529663E+00,7.529663E+00,8.881784E-16
   -1.500000,6.709172E+00,6.709172E+00,0.000000E+00
   -1.400000,5.951328E+00,5.951328E+00,0.000000E+00
   -1.300000,5.255739E+00,5.255739E+00,0.000000E+00
   -1.200000,4.622119E+00,4.622119E+00,0.000000E+00
   -1.100000,4.050309E+00,4.050309E+00,0.000000E+00
   -1.000000,3.540302E+00,3.540302E+00,0.000000E+00
   -0.900000,3.092267E+00,3.092267E+00,0.000000E+00
   -0.800000,2.706573E+00,2.706573E+00,0.000000E+00
   -0.700000,2.383818E+00,2.383818E+00,4.440892E-16
   -0.600000,2.124860E+00,2.124860E+00,0.000000E+00
   -0.500000,1.930848E+00,1.930848E+00,0.000000E+00
   -0.400000,1.803253E+00,1.803253E+00,0.000000E+00
   -0.300000,1.743909E+00,1.743909E+00,0.000000E+00
   -0.200000,1.755051E+00,1.755051E+00,0.000000E+00
   -0.100000,1.839358E+00,1.839358E+00,2.220446E-16
    0.000000,2.000000E+00,2.000000E+00,0.000000E+00
    0.100000,2.240692E+00,2.240692E+00,0.000000E+00
    0.200000,2.565750E+00,2.565750E+00,0.000000E+00
    0.300000,2.980153E+00,2.980153E+00,0.000000E+00
    0.400000,3.489616E+00,3.489616E+00,4.440892E-16
    0.500000,4.100664E+00,4.100664E+00,0.000000E+00
    0.600000,4.820726E+00,4.820726E+00,0.000000E+00
    0.700000,5.658222E+00,5.658222E+00,8.881784E-16
    0.800000,6.622680E+00,6.622680E+00,8.881784E-16
    0.900000,7.724856E+00,7.724856E+00,0.000000E+00
    1.000000,8.976866E+00,8.976866E+00,0.000000E+00
    1.100000,1.039234E+01,1.039234E+01,0.000000E+00
    1.200000,1.198661E+01,1.198661E+01,0.000000E+00
    1.300000,1.377688E+01,1.377688E+01,1.776357E-15
    1.400000,1.578245E+01,1.578245E+01,1.776357E-15
    1.500000,1.802496E+01,1.802496E+01,0.000000E+00
    1.600000,2.052868E+01,2.052868E+01,0.000000E+00
    1.700000,2.332081E+01,2.332081E+01,0.000000E+00
    1.800000,2.643181E+01,2.643181E+01,0.000000E+00
    1.900000,2.989580E+01,2.989580E+01,0.000000E+00
    2.000000,3.375102E+01,3.375102E+01,7.105427E-15
